date,O3,CO,NO2,SO2
2026-07-17,0.1157049862047036,--,4.886037592465679e-05,-0.0001258407641823093
2026-07-16,0.1150876395404338,0.03282697995503744,4.860233993416554e-05,0.00012357703988151304
2026-07-14,0.1169696614146232,0.03333562612533569,5.499074468389154e-05,8.088003378361463e-05
2026-07-19,0.1171723951896031,0.03345945725838343,3.653377196035133e-05,3.844320731745525e-05
2026-07-18,0.1157912577191988,0.033835300377437046,4.662510695024615e-05,6.73329521869791e-05
2026-01-03,0.1118821350236733,0.02979704240957896,--,0.0002506733580958098
2026-01-04,0.1131917918721834,0.028374470197237454,2.9377086320891976e-05,0.00011544096667100402
2026-01-06,0.1119981214404106,--,--,-0.0005225894972681999
2026-01-10,0.1136184704800446,--,--,3.0271508876467124e-05
2026-01-07,0.1141417031486829,--,--,-5.563422261426846e-05
2026-01-08,0.1139914885163307,--,3.383355215191841e-05,0.0001407339484156931
2026-01-05,0.1124871085087458,--,--,-4.172608560810868e-05
2026-01-09,0.1145843863487243,0.02294660545885563,--,--
2026-02-04,0.1151276263097922,0.02648223042488098,3.02491888370631e-05,-3.983626707590052e-05
2026-02-05,0.1147659262021382,0.026802679896354674,2.5781313524930738e-05,4.0422093921474046e-05
2026-02-11,0.1138032520810763,--,--,--
2026-02-06,0.1143277024229367,0.030357988675435384,1.312312881716273e-05,0.00011535127802441518
2026-02-09,0.1138741679489612,--,--,--
2026-02-07,0.1140129129091898,--,--,--
2026-02-08,0.1155896710852781,0.02871205977031163,1.696576873655431e-05,-3.065958298975602e-05
2026-02-10,0.1136962279677391,--,2.166461975624164e-05,-2.50931744058444e-06
2026-06-03,0.1152098268270492,0.034076809883117676,3.118159864763064e-05,5.949367769062519e-05
2026-05-29,0.1186179091533025,0.03183783744943553,3.183284619202216e-05,0.00015587531961500645
2026-06-02,0.1167053329447905,0.03327705817563193,3.662003049006065e-05,6.344893481582403e-05
2026-06-01,0.1166291678945223,0.03338406483332316,4.100892304753264e-05,3.745278421168526e-05
2026-05-30,0.1171527797977129,--,1.6178822584657206e-05,0.0006351290270686149
2026-05-28,0.1185021691024303,0.02845211923122406,3.2182112234928035e-05,0.00012434038799256087
2026-05-27,0.116954472164313,0.030468201637268065,2.9588781256714594e-05,0.00012556077518428749
2026-05-31,0.1167201881607373,0.028797948360443117,3.718423734729489e-05,-2.425195804486672e-05
2026-07-31,0.1192600267628828,0.034746907259288584,--,-0.00015535095008090138
2026-08-01,0.1201829433441162,0.03621196746826172,3.1338589906226844e-05,-4.899514445649653e-07
2026-08-06,0.1205259410043557,0.030918238560358684,4.4838530205500625e-05,0.0004064606425041954
2026-07-30,0.1200122614701588,0.03889084607362747,3.4890384995378554e-05,5.292738205753267e-06
2026-08-04,0.1179302930831909,0.03257104555765788,4.134571229639862e-05,2.3814815974149566e-05
2026-08-05,0.1183173594375451,0.027047000328699746,3.635605772663104e-05,0.0004115572751120285
2026-08-02,0.1208157400290171,--,2.007848039890329e-05,-1.3878861985479792e-05
2026-08-03,0.1196381722887357,0.028014167149861654,2.9015585702533524e-05,-9.902926006664833e-05
2026-08-10,0.1217215148111184,0.03619677444984173,4.361555028449872e-05,0.00012561291905826535
2026-08-07,0.1213766952355702,0.03425207876023792,4.343444521984328e-05,-0.00020024900635083517
2026-08-09,0.1217869299153486,0.03848035247237594,4.780469158583361e-05,0.0005926084145903587
2026-08-08,0.1211363196372985,0.03464945157368978,5.817150304210372e-05,0.000505926669575274
2026-08-13,0.1165958618124326,0.037409647305806475,7.63464408616225e-05,6.734038858364026e-05
2026-08-12,0.1201980310181776,0.029218821690000337,4.79689061952134e-05,8.318397061278423e-05
2026-08-11,0.1209813681741555,0.03501783256177549,3.624745711152043e-05,0.00018428264108176032
2026-08-14,0.1182411844531695,0.03491076231002808,4.2278090647111335e-05,-0.00014154243593414624
2026-02-14,0.1130155183374881,--,--,--
2026-02-13,0.1130292132496833,--,--,--
2026-02-16,0.1146304483215014,0.03108912706375122,--,6.45534455543384e-05
2026-02-19,0.1114010403553644,--,--,-4.9716642630907394e-05
2026-02-18,0.1140701907376448,--,--,--
2026-02-15,0.1119377806782722,0.03151684540968675,2.2754597011953592e-05,5.096773996851162e-05
2026-02-12,0.1119616046547889,0.03020468552907308,--,-3.969177972370138e-05
2026-02-17,0.1143923059105873,0.027851052582263947,--,--
2026-06-06,0.1167144450048605,0.027362003922462463,3.4676745682108134e-05,8.758513104112353e-06
2026-06-11,0.1173614750305811,0.03325791756312053,4.457692072416345e-05,0.0001895562745630741
2026-06-05,0.1170536585152149,0.027095399300257363,4.3054120615124704e-05,3.814185426260034e-05
2026-06-07,0.1166293688118457,0.03172907829284668,5.091324370975296e-05,0.00022918833419680596
2026-06-10,0.118203509102265,0.033910897271386506,5.516690564238363e-05,0.00016931100780593939
2026-06-09,0.1185855773588021,0.03151860281273171,4.380098156010111e-05,0.0002536569256335497
2026-06-08,0.1187220742305119,0.033176012337207794,4.738326034774738e-05,0.0005258433520793915
2026-06-04,0.1163059890270233,0.0320514440536499,4.4807502678756055e-05,0.00023684605645636717
2026-07-09,0.1189314762751261,0.033456888794898984,5.760179268882463e-05,0.00028109410777688026
2026-07-10,0.1186170428991317,0.035516385237375894,5.063374244075801e-05,0.00013876195686558882
2026-07-07,0.1161665422221024,0.028184527158737184,3.974719050650795e-05,3.170594837601212e-05
2026-07-08,0.1180183726052443,0.0330467164516449,3.679033155397823e-05,-1.9946193788200617e-05
2026-07-11,0.1180163932343324,0.03081279993057251,5.3632376796525456e-05,2.2710394114255904e-05
2026-07-13,0.1179145333667596,0.032979716857274376,4.573889697591464e-05,0.00029210538292924563
2026-07-12,0.1155037097632885,0.03656904697418213,4.670999866599838e-05,0.00012271203255901733
2026-08-24,0.1208918976287047,0.035673280556996666,6.743058717499177e-05,0.00041331970614605937
2026-08-23,0.1207485787570476,0.037252237796783445,4.9191173510970894e-05,-0.0001280681462958455
2025-12-19,0.1133151985704898,--,--,--
2025-12-23,0.1148799195885658,0.028677137692769368,2.4533025377119582e-05,-4.492778874312838e-05
2025-12-18,0.1146924629807472,0.02640836238861084,--,0.00015407480532303452
2025-12-25,0.1155502746502558,0.028967373371124268,2.057452608520786e-05,6.546959436188141e-05
2025-12-21,0.1144923515617847,0.024085627868771553,3.0985582270659506e-05,-1.7530897215086345e-05
2025-12-24,0.1151813715696334,0.02732173539698124,2.8886549989692868e-05,9.368581231683493e-06
2025-12-20,0.1142354326943556,0.029448501765727997,--,--
2025-12-22,0.117104247957468,--,--,--
2026-05-02,0.1167933796842893,0.027781089146931965,4.568942676996812e-05,0.0003103730734437704
2026-04-26,0.1169454522430896,0.02606465816497803,3.565195220289752e-05,0.00018863842405121903
2026-04-25,0.1177215268214543,0.028839882214864096,3.360668197274208e-05,8.654927369207144e-05
2026-05-01,0.1159015379846096,0.023880545909588154,3.201478102710098e-05,0.00028726844383137565
2026-04-27,0.1157882076998551,--,4.735862215360006e-05,3.240995843393298e-05
2026-04-29,0.117113730063041,0.025523770600557327,2.5928576360456645e-05,-4.600564716383815e-05
2026-04-30,0.1163834599157174,--,--,--
2026-04-28,0.1155377656221389,--,2.9543080017901957e-05,0.00023466669793786673
2025-12-16,0.1151326954364776,0.028616287491538307,1.0287149052601308e-05,-4.577344807330519e-05
2025-12-17,0.115674232194821,0.028310324748357138,1.9904728590821228e-05,4.636517260223627e-05
2025-11-10,0.1147749031583468,0.028844879733191595,4.3255644413875416e-05,0.00010037605534307659
2025-11-14,0.1171023997167746,--,--,--
2025-11-12,0.1160020219782988,--,--,--
2025-11-08,0.1148621345559755,--,--,--
2025-11-09,0.1172666274011135,--,--,--
2025-11-13,0.1153973206877708,--,--,1.6453584456550224e-05
2025-11-11,0.1149460357924302,0.030225194417513333,2.3202792363008484e-05,0.00011988163460046053
